Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
2230,"עָשִׂינוּ דִיטֵיְילִינְג מִקְצוֹעִי לָרֶכֶב.","Мы сделали профессиональный детейлинг автомобиля.","Существительные","s_422e3a5aeea5.mp3","Мужской"
2231,"שָׁלוֹם, רַק שְׁטִיפָה חִיצוֹנִית?","Здравствуйте, только наружная мойка?","Существительные","s_c42cb219879b.mp3","Мужской"
2232,"נָא לְקַפֵּל אֶת הַמַּרְאוֹת.","Пожалуйста, сложите зеркала.","Существительные","s_f77e38399ce9.mp3","Женский"
2233,"תִּסְגּוֹר אֶת כָּל הַחַלּוֹנוֹת.","Закрой все окна.","Существительные","s_acbfa5f36ee4.mp3","Женский"
2234,"יֵשׁ לָכֶם דְּבָרִים יְקָרִים?","У вас есть ценные вещи?","Существительные","s_7ec0675a0530.mp3","Мужской"
2235,"יֵשׁ כֶּתֶם עַל הָרִפּוּד.","На обивке есть пятно.","Существительные","s_940e33f1b491.mp3","Мужской"
2236,"נָא לְהַמְתִּין בַּחֲדַר הַהַמְתָּנָה.","Пожалуйста, подождите в комнате ожидания.","Существительные","s_c97a75a67583.mp3","Мужской"
2237,"תִּפְתַּח אֶת תָּא הַמִּטְעָן.","Открой багажник.","Существительные","s_4bc63ba0a976.mp3","Женский"
2238,"הַמְּכוֹנִית שֶׁלְּךָ כְּבָר מוּכָנָה!","Твоя машина уже готова!","Существительные","s_f56cfd842ca2.mp3","Мужской"
2239,"הַשְּׁטִיפָה לוֹקַחַת עֶשְׂרִים דַּקּוֹת.","Мойка занимает двадцать минут.","Существительные","s_a16c98641602.mp3","Мужской"
2240,"תִּזָּהֵר, הָרִצְפָּה כָּאן רְטוּבָה.","Осторожно, пол здесь мокрый.","Существительные","s_2bf594233474.mp3","Мужской"
2241,"אֶפְשָׁר לְקַבֵּל כַּרְטִיס מָנוּי?","Можно получить карту постоянного клиента?","Существительные","s_3f8b7b69243a.mp3","Мужской"
2242,"הַאִם לִשְׁאוֹב אֶת הַכִּסְּאוֹת?","Пропылесосить сиденья?","Существительные","s_fddb1eec017e.mp3","Женский"
2243,"שְׁפוֹךְ חוֹמֶר עַל הַגַּ׳נְטִים.","Налей средство на диски.","Существительные","s_3c969f511d6b.mp3","Мужской"
2244,"סַע קָדִימָה לְאַט מְאוֹד.","Езжай вперёд очень медленно.","Существительные","s_264058fd219f.mp3","Мужской"
2245,"נִקִּינוּ אֶת סִפֵּי הַדְּלָתוֹת.","Мы очистили дверные пороги.","Существительные","s_aec7dcd8b0db.mp3","Женский"
2246,"תִּבְדּוֹק אֶת הַתָּא הַצְּדָדִי.","Проверь боковой карман.","Существительные","s_9ff9e316c46c.mp3","Женский"
2247,"הַתַּשְׁלוּם מִתְבַּצֵּעַ בַּקּוּפָּה שָׁם.","Оплата производится в кассе там.","Существительные","s_a6cb2f91d306.mp3","Мужской"
2248,"נְסִיעָה טוֹבָה וּבְטוּחָה לְךָ!","Хорошей и безопасной поездки тебе!","Существительные","s_03fe4f425fa9.mp3","Мужской"
2249,"יֵשׁ לִי חֶדֶר גָּדוֹל.","У меня большая комната.","Прилагательные","s_6554186cede9.mp3","Мужской"
2250,"יִשְׂרָאֵל מְדִינָה קְטַנָּה מְאֹד.","Израиль — очень маленькая страна.","Прилагательные","s_e577811bf356.mp3","Мужской"
2251,"הַיּוֹם יוֹם טוֹב לְכוּלָּם.","Сегодня хороший день для всех.","Прилагательные","s_ecf259d0a3e3.mp3","Мужской"
2252,"דָּוִד קוֹנֶה בַּיִת חָדָשׁ.","Давид покупает новый дом.","Прилагательные","s_f200c6f70ee7.mp3","Мужской"
2253,"תֵּל אָבִיב עִיר יָפָה מְאֹד.","Тель-Авив — очень красивый город.","Прилагательные","s_3051ba722b65.mp3","Мужской"
2254,"אֲנִי רוֹצֶה תֵּה חַם.","Я хочу горячий чай.","Прилагательные","s_de9f020ed38d.mp3","Мужской"
2255,"יֵשׁ פֹּה מַיִם קָרִים.","Здесь есть холодная вода.","Прилагательные","s_c8f6720fa6a8.mp3","Мужской"
2256,"הָעוּגָה הַזֹּאת טְעִימָה מְאֹד.","Этот пирог очень вкусный.","Прилагательные","s_52150417b503.mp3","Мужской"
2257,"הַמּוֹרֶה הַזֶּה נֶחְמָד מְאֹד.","Этот учитель очень приятный.","Прилагательные","s_6d41aec4e614.mp3","Женский"
2258,"הַלֶּחֶם הַזֶּה טָרִי מְאֹד.","Этот хлеб очень свежий.","Прилагательные","s_777f822ee1c7.mp3","Мужской"
2259,"הַתַּפּוּזִים פֹּה יְקָרִים מְאֹד.","Апельсины здесь очень дорогие.","Прилагательные","s_fa7e48d297f8.mp3","Мужской"
2260,"הָעַגְבָנִיּוֹת בַּשּׁוּק זוֹלוֹת מְאֹד.","Помидоры на рынке очень дешёвые.","Прилагательные","s_326488f8a716.mp3","Мужской"
2261,"הַמָּרָק הַזֶּה חָרִיף מְאֹד.","Этот суп очень острый.","Прилагательные","s_a7c4e8ecddc9.mp3","Мужской"
2262,"הַיּוֹם מֶזֶג אֲוִיר נָעִים.","Сегодня приятная погода.","Прилагательные","s_5fc4ff9ddc12.mp3","Мужской"
2263,"הִיא לוֹבֶשֶׁת שִׂמְלָה אֲדוּמָּה.","Она носит красное платье.","Прилагательные","s_1421bdfa8082.mp3","Женский"
2264,"דָּנָה קוֹנָה חוּלְצָה כְּחוּלָּה.","Дана покупает синюю рубашку.","Прилагательные","s_2d0b0081421f.mp3","Мужской"
2265,"יֵשׁ לִי רֶכֶב לָבָן.","У меня белая машина.","Прилагательные","s_e7dd1f09f4cd.mp3","Мужской"
2266,"הוּא שׁוֹתֶה קָפֶה שָׁחוֹר.","Он пьёт чёрный кофе.","Прилагательные","s_88d335084c76.mp3","Мужской"
2267,"הַיֶּלֶד חוֹלֶה הַיּוֹם בַּבַּיִת.","Мальчик сегодня болеет дома.","Прилагательные","s_478c20a63652.mp3","Мужской"
2268,"אֲנִי רוֹצֶה אוֹכֶל בָּרִיא.","Я хочу здоровую еду.","Прилагательные","s_2f9bc1566f0d.mp3","Мужской"
2269,"דָּוִד שָׂמֵחַ מְאֹד הַיּוֹם.","Давид сегодня очень рад.","Прилагательные","s_1f5a6dfb3957.mp3","Мужской"
2270,"הָאִישׁ גָּבוֹהַּ מְאוֹד.","Этот мужчина очень высокий.","Прилагательные","s_aea153a232d8.mp3","Мужской"
2271,"הַמִּיטָה נְמוּכָה מְאוֹד.","Кровать очень низкая.","Прилагательные","s_a7d537eb7bb0.mp3","Мужской"
2272,"הַיֶּלֶד חָכָם מְאוֹד.","Мальчик очень умный.","Прилагательные","s_c3b703fed5b7.mp3","Мужской"
2273,"הִיא אִישָׁה צְעִירָה.","Она молодая женщина.","Прилагательные","s_351ed5a45b06.mp3","Женский"
2274,"הַשּׁוּלְחָן יָשָׁן מְאוֹד.","Стол очень старый.","Прилагательные","s_0036d371a132.mp3","Мужской"
2275,"הַמִּטְבָּח נְקִיָּה תָּמִיד.","Кухня всегда чистая.","Прилагательные","s_c54ee7730150.mp3","Мужской"
2276,"הַדִּירָה מְרוּהֶטֶת יָפֶה.","Квартира красиво меблирована.","Прилагательные","s_2186126dd94d.mp3","Мужской"
2277,"הַשָּׁכֵן שָׁקֵט הַיּוֹם.","Сосед сегодня тихий.","Прилагательные","s_968e751aedaa.mp3","Мужской"
2278,"הַסֶּרֶט מְאוֹד רוֹמַנְטִי.","Фильм очень романтичный.","Прилагательные","s_b39abb244f02.mp3","Мужской"
2279,"הַהַרְצָאָה מְעַנְיֶנֶת מְאוֹד.","Лекция очень интересная.","Прилагательные","s_dd668bf135e2.mp3","Мужской"
2280,"הַסֵּפֶר הַזֶּה מְשַׁעְמֵם.","Эта книга скучная.","Прилагательные","s_7c3de9a14191.mp3","Мужской"
2281,"הַבֵּיצָה מְבוּשֶּׁלֶת טוֹב.","Яйцо хорошо сварено.","Прилагательные","s_2d396565386d.mp3","Мужской"
2282,"הַסֶּרֶט הָיָה מְצוּיָן.","Фильм был отличный.","Прилагательные","s_c3ddcd53778c.mp3","Мужской"
2283,"אֲנִי עָסוּק הַיּוֹם.","Я сегодня занят.","Прилагательные","s_fe7a045a3777.mp3","Мужской"
2284,"הִיא זְמִינָה מָחָר.","Она свободна завтра.","Прилагательные","s_15d5201a6e2a.mp3","Женский"
2285,"זֶה מִכְתָּב רַשְׁמִי.","Это официальное письмо.","Прилагательные","s_cf3134b8bfb4.mp3","Мужской"
2286,"אֲנִי בָּטוּחַ בָּזֶה.","Я уверен в этом.","Прилагательные","s_380f46425971.mp3","Мужской"
2287,"הַבַּנְק סָגוּר הַיּוֹם.","Банк сегодня закрыт.","Прилагательные","s_4389410d7e31.mp3","Мужской"
2288,"הַחֶדֶר שֶׁלִּי מְסוּדָּר.","Моя комната прибрана.","Прилагательные","s_92134eb23a01.mp3","Мужской"
2289,"הַחֶשְׁבּוֹן כְּבָר מְשׁוּלָּם.","Счёт уже оплачен.","Прилагательные","s_c35635f65385.mp3","Мужской"
2290,"אַתָּה תָּמִיד מוּזְמָן אֵלֵינוּ.","Ты всегда приглашён к нам.","Прилагательные","s_4d742e5ce22a.mp3","Мужской"
2291,"הַקּוֹר מוּרְגָּשׁ הַיּוֹם.","Холод ощутим сегодня.","Прилагательные","s_7fb1162a96fb.mp3","Мужской"
2292,"הוּא סוֹפֵר מְפוּרְסָם מְאֹד.","Он очень известный писатель.","Прилагательные","s_46711cf9c2cb.mp3","Мужской"
2293,"הוּא הָיָה מוּפְתָּע מְאֹד.","Он был очень удивлён.","Прилагательные","s_72035d8dea5a.mp3","Мужской"
2294,"הַמּוּצָר הַזֶּה פָּגוּם.","Этот товар бракованный.","Прилагательные","s_c198a2bf00ac.mp3","Мужской"
2295,"הַחוֹזֶה הַזֶּה חוּקִּי לְגַמְרֵי.","Этот договор полностью законный.","Прилагательные","s_ccd211375de1.mp3","Мужской"
2296,"זֶה רַעְיוֹן מְאוֹד הֶגְיוֹנִי.","Это очень логичная идея.","Прилагательные","s_0bcd6cd08bb6.mp3","Мужской"
2297,"הַקּוֹבֶץ הַזֶּה מְצוֹרָף לַמִּכְתָּב.","Этот файл приложен к письму.","Прилагательные","s_c621cae1507f.mp3","Мужской"
2298,"הַחֶדֶר הַזֶּה מְרוֹהָט.","Эта комната меблирована.","Прилагательные","s_84fd28681a42.mp3","Мужской"
2299,"זֶה סֵפֶר מְעַנְיֵן מְאֹד.","Это очень интересная книга.","Прилагательные","s_e30a5ebf22cc.mp3","Мужской"
2300,"הַסֶּרֶט הַזֶּה מַצְחִיק מְאֹד.","Этот фильм очень смешной.","Прилагательные","s_7c7325ca3aad.mp3","Мужской"
2301,"זֶה אוֹטוֹבּוּס יָשִׁיר לִירוּשָׁלַיִם.","Это прямой автобус в Иерусалим.","Прилагательные","s_649f324dafae.mp3","Мужской"
2302,"זֶה הַשִּׁעוּר הָרִאשׁוֹן שֶׁלִּי.","Это мой первый урок.","Прилагательные","s_7929e95d7605.mp3","Мужской"
2303,"זֶה הַשִּׁעוּר הַשֵּׁנִי שֶׁלָּנוּ.","Это наш второй урок.","Прилагательные","s_75ad8e32cf1f.mp3","Мужской"
2304,"זֶה הַשִּׁעוּר הַשְּׁלִישִׁי שֶׁלָּנוּ.","Это наш третий урок.","Прилагательные","s_e5577cd1446b.mp3","Мужской"
2305,"זֶה הַחֶדֶר הָרְבִיעִי בַּבַּיִת.","Это четвертая комната в доме.","Прилагательные","s_aef5785fc8a6.mp3","Мужской"
2306,"זֶה הַסֵּפֶר הַחֲמִישִׁי שֶׁלּוֹ.","Это его пятая книга.","Прилагательные","s_4749bc047a1f.mp3","Мужской"
2307,"זֶה הָאוֹטוֹבּוּס הָאַחֲרוֹן הַיּוֹם.","Это последний автобус сегодня.","Прилагательные","s_c46bf8537d80.mp3","Мужской"
2308,"הַסֶּרֶט הַזֶּה מְרַתֵּק מְאוֹד.","Этот фильм очень увлекательный.","Прилагательные","s_7631ddc61fe6.mp3","Мужской"
2309,"הַחֲתוּל הַזֶּה חָמוּד מְאוֹד.","Этот кот очень милый.","Прилагательные","s_72a900bc0b06.mp3","Мужской"
2310,"הָיָה לִי יוֹם קָשֶׁה.","У меня был тяжелый день.","Прилагательные","s_62be108cf8bf.mp3","Мужской"
2311,"זֶה הָיָה מִבְחָן קַל.","Это был легкий экзамен.","Прилагательные","s_4a531dab244b.mp3","Мужской"
2312,"זֶה שִׁעוּר חָשׁוּב מְאֹד.","Это очень важный урок.","Прилагательные","s_2dff0ebb6a91.mp3","Мужской"
2313,"הַבֶּגֶד הַזֶּה מְלוּכְלָךְ מְאֹד.","Эта одежда очень грязная.","Прилагательные","s_6ab1847c8926.mp3","Мужской"
2314,"הַכִּסֵּא הַזֶּה נוֹחַ מְאֹד.","Этот стул очень удобный.","Прилагательные","s_98d316a23a5f.mp3","Мужской"
2315,"הַבָּחוּר הַזֶּה מְאוֹד רָזֶה.","Этот парень очень худой.","Прилагательные","s_9739ea1c4d1c.mp3","Мужской"
2316,"יֵשׁ לָנוּ חָתוּל שָׁמֵן.","У нас есть толстый кот.","Прилагательные","s_34f86ba55f6c.mp3","Мужской"
2317,"סַבָּא שֶׁלִּי כְּבָר זָקֵן.","Мой дедушка уже старый.","Прилагательные","s_257213b370f0.mp3","Мужской"
2318,"לָמָּה אַתָּה עָצוּב הַיּוֹם?","Почему ты сегодня грустный?","Прилагательные","s_5b9009e319fd.mp3","Мужской"
2319,"הַיָּד שֶׁלִּי כּוֹאֶבֶת מְאוֹד.","Моя рука очень болит.","Прилагательные","s_18ab392752b1.mp3","Мужской"
2320,"הוּא עָיֵף מְאוֹד הַיּוֹם.","Он сегодня очень устал.","Прилагательные","s_7d0eae746673.mp3","Мужской"
2321,"הִיא עֲיֵפָה אַחֲרֵי הָעֲבוֹדָה.","Она устала после работы.","Прилагательные","s_ecf56468d557.mp3","Женский"
2322,"זֶה מִסְמָךְ סוֹדִי וְחָסוּי.","Это секретный и конфиденциальный документ.","Прилагательные","s_828a10267cbb.mp3","Мужской"
2323,"הַסֵּפֶר הַזֶּה שֶׁלִּי.","Эта книга — моя.","Предлоги","s_c27b7f5b63dd.mp3","Мужской"
2324,"אַתָּה רוֹצֶה לָלֶכֶת אִתִּי?","Ты хочешь пойти со мной?","Предлоги","s_f0b76486d44c.mp3","Мужской"
2325,"יֵשׁ לִי שְׁאֵלָה אַחַת.","У меня есть один вопрос.","Предлоги","s_1522784e7a59.mp3","Мужской"
2326,"אַתָּה שׁוֹמֵעַ אוֹתִי טוֹב?","Ты хорошо меня слышишь?","Предлоги","s_7aa848e2f709.mp3","Мужской"
2327,"דָּוִד יוֹשֵׁב לְיָדִי בָּאוּלְפָּן.","Давид сидит рядом со мной в ульпане.","Предлоги","s_f58cba375131.mp3","Мужской"
2328,"אֲנִי אוֹהֵב אֶת יִשְׂרָאֵל.","Я люблю Израиль.","Предлоги","s_2a459d7f3ebc.mp3","Мужской"
2329,"אֲנִי מְאַחֵר בִּגְלַל הַפְּקָק.","Я опаздываю из-за пробки.","Предлоги","s_0e9628127d31.mp3","Мужской"
2330,"זֶה מִכְתָּב לִכְבוֹד הַמְּנַהֵל.","Это письмо в адрес директора.","Предлоги","s_95d232a7070f.mp3","Мужской"
2331,"הוּא הוֹלֵךְ אֶל הַבַּיִת.","Он идёт к дому.","Предлоги","s_1f41ed48cb0b.mp3","Мужской"
2332,"הוּא שׂוֹחֶה כְּמוֹ דָּג.","Он плавает как рыба.","Предлоги","s_a9e5c6ec20d8.mp3","Мужской"
2333,"לְדִבְרֵי הָרוֹפֵא, הַכֹּל בְּסֵדֶר.","По словам врача, всё в порядке.","Предлоги","s_cdbaa49366c0.mp3","Мужской"
2334,"אֲנַחְנוּ הוֹלְכִים לְטִיפַּת חָלָב.","Мы идём в детскую консультацию.","Мамы в Израиле","s_c04fc65caf4b.mp3","Женский"
2335,"הַתִּינוֹק יָשֵׁן בַּמִּטָּה.","Малыш спит в кроватке.","Мамы в Израиле","s_63486cc9984a.mp3","Женский"
2336,"הַיּוֹם יֵשׁ לַתִּינוֹק חִיסּוּן.","Сегодня у малыша прививка.","Мамы в Израиле","s_762ab08947e4.mp3","Женский"
2337,"מָה הַמִּשְׁקָל שֶׁל הַיֶּלֶד?","Каков вес ребёнка?","Мамы в Израиле","s_50789cd1649c.mp3","Женский"
2338,"הַגּוֹבַהּ שֶׁלּוֹ מְצוּיָּן.","Его рост отличный.","Мамы в Израиле","s_2704764a89d4.mp3","Женский"
2339,"צָרִיךְ לְהַחְלִיף לוֹ חִיתּוּל.","Нужно поменять ему подгузник.","Мамы в Израиле","s_31d7b63df9a0.mp3","Женский"
2340,"אֵיפֹה הַמּוֹצֵץ שֶׁל הַתִּינוֹק?","Где соска малыша?","Мамы в Израиле","s_e1b587661b36.mp3","Женский"
2341,"הַתִּינוֹק שׁוֹתֶה מֵהַבַּקְבּוּק.","Малыш пьёт из бутылочки.","Мамы в Израиле","tinok_bakbuk_google_tts.mp3","Женский"
2342,"הַהַנְקָה חֲשׁוּבָה לַתִּינוֹק.","Грудное вскармливание важно для малыша.","Мамы в Израиле","s_875ce64b2ff4.mp3","Женский"
2343,"הַבַּקְבּוּק עִם מָטֶרְנָה מוּכָן.","Бутылочка со смесью готова.","Мамы в Израиле","s_9ae4ec1590ee.mp3","Женский"
2344,"הָעֲגָלָה שֶׁל הַתִּינוֹק כְּבֵדָה.","Коляска малыша тяжёлая.","Мамы в Израиле","s_a475370eeff9.mp3","Женский"
2345,"הַתִּינוֹק נִמְצָא בַּמִּנְשָׂא.","Малыш находится в слинге.","Мамы в Израиле","s_8b8c86ec2baa.mp3","Женский"
2346,"שִׂים לַיֶּלֶד סִינָר.","Надень ребёнку слюнявчик.","Мамы в Израиле","s_58352ce0f037.mp3","Женский"
2347,"תָּבִיא לִי אֶת הַמַּדְחוֹם.","Принеси мне градусник.","Мамы в Израиле","s_37c8e1e72688.mp3","Женский"
2348,"יֵשׁ לַיֶּלֶד חוֹם גָּבוֹהַּ.","У ребёнка высокая температура.","Мамы в Израиле","s_2fbbd44d9e20.mp3","Женский"
2349,"יֵשׁ לוֹ שִׁיעוּל לַח מְאוֹד.","У него очень влажный кашель.","Мамы в Израиле","s_777b51538467.mp3","Женский"
2350,"יֵשׁ לַיֶּלֶד הַרְבֵּה נַזֶּלֶת.","У ребёнка сильный насморк.","Мамы в Израиле","s_4660b711c2eb.mp3","Женский"
2351,"יֵשׁ לָהּ דַּלֶּקֶת אָזְנַיִם.","У неё воспаление уха (отит).","Мамы в Израиле","s_114aa0469d16.mp3","Женский"
2352,"הָרוֹפֵא בּוֹדֵק דַּלֶּקֶת גָּרוֹן.","Врач проверяет воспаление горла.","Мамы в Израиле","s_3fa5bbd3cfed.mp3","Женский"
2353,"הָרוֹפֵא נוֹתֵן אִישׁוּר מַחֲלָה.","Врач даёт справку о болезни.","Мамы в Израиле","s_49a72ad7d505.mp3","Женский"
2354,"אֲנִי צְרִיכָה תּוֹר דָּחוּף.","Мне нужна срочная очередь.","Мамы в Израиле","s_3cbbad7fc65c.mp3","Женский"
2355,"אֲנִי הוֹלֶכֶת לְבֵית מִרְקַחַת.","Я иду в аптеку.","Мамы в Израиле","s_2d5bdf45d444.mp3","Женский"
2356,"הַיֶּלֶד צָרִיךְ לִשְׁתּוֹת תְּרוּפָה.","Ребёнок должен выпить лекарство.","Мамы в Израиле","s_b9ed15db09af.mp3","Женский"
2357,"יֵשׁ לִי מִרְשָׁם מֵהָרוֹפֵא.","У меня есть рецепт от врача.","Мамы в Израиле","s_bd5a68f75669.mp3","Женский"
2358,"הַיֶּלֶד שׁוֹתֶה סִירוֹפּ מָתוֹק.","Ребёнок пьёт сладкий сироп.","Мамы в Израиле","s_369e880ba198.mp3","Женский"
2359,"מָה הַמִּינּוּן לְפִי מִשְׁקָל?","Какова дозировка по весу?","Мамы в Израиле","s_70ab7adc961f.mp3","Женский"
2360,"שִׂים פְּלַסְטֶר עַל הַמַּכָּה.","Наклей пластырь на ссадину.","Мамы в Израиле","s_10818fe8b7b5.mp3","Женский"
2361,"תִּמְרַח אֶת הַמִּשְׁחָה בִּזְהִירוּת.","Намажь мазь осторожно.","Мамы в Израиле","s_2ac2f8e82ac0.mp3","Женский"
2362,"הַתִּינוֹק הוֹלֵךְ לַמָּעוֹן.","Малыш идёт в ясли.","Мамы в Израиле","s_cb3ba63b8447.mp3","Женский"
2363,"הַגַּנֶּנֶת מְדַבֶּרֶת עִם הַהוֹרִים.","Воспитательница говорит с родителями.","Мамы в Израиле","s_d4e8c96b4c69.mp3","Женский"
2364,"הַסַּיַּעַת עוֹזֶרֶת לַיְלָדִים בַּגַּן.","Помощница помогает детям в саду.","Мамы в Израиле","s_f7e76f15f0fc.mp3","Женский"
2365,"הַיֶּלֶד נִשְׁאָר בַּצַּהֲרוֹן הַיּוֹם.","Ребёнок остаётся на продлёнке сегодня.","Мамы в Израиле","s_5911a2bcde72.mp3","Женский"
2366,"הֵכַנְתִּי אֲרוּחַת עֶשֶׂר יָפָה.","Я приготовила хороший второй завтрак.","Мамы в Израиле","s_e16eea64a75b.mp3","Женский"
2367,"אֵיפֹה קוּפְסַת הָאוֹכֶל שֶׁלְּךָ?","Где твоя коробочка для еды?","Мамы в Израиле","s_e1ef394f00a4.mp3","Женский"
2368,"הַיֶּלֶד יוֹרֵד בַּמַּגְלֵשָׁה.","Ребёнок съезжает с горки.","Мамы в Израиле","s_14b093f29d13.mp3","Женский"
2369,"הַיַּלְדָּה רוֹצָה לַנַּדְנֵדָה עַכְשָׁיו.","Девочка хочет на качели сейчас.","Мамы в Израиле","s_1e67d051d77a.mp3","Женский"
2370,"הַיֶּלֶד הוֹלֵךְ לְבֵית סֵפֶר.","Ребёнок идёт в школу.","Мамы в Израиле","s_f61cb755cd17.mp3","Женский"
2371,"הַמּוֹרָה מַסְבִּירָה אֶת הַשִּׁיעוּר.","Учительница объясняет урок.","Мамы в Израиле","s_52bd2b295824.mp3","Женский"
2372,"הַיַּלְקוּט שֶׁל הַיֶּלֶד כָּבֵד.","Ранец ребёнка тяжёлый.","Мамы в Израиле","s_77a9d985c8f1.mp3","Женский"
2373,"שָׂמְתָּ עֵפְרוֹנוֹת בַּקַּלְמָר?","Ты положил карандаши в пенал?","Мамы в Израиле","s_71c99a22be37.mp3","Женский"
2374,"סִיַּמְתָּ שִׁיעוּרֵי בַּיִת הַיּוֹם?","Ты закончил домашнее задание сегодня?","Мамы в Израиле","s_8fcdadc94cd5.mp3","Женский"
2375,"וַעַד הַהוֹרִים אָסַף כֶּסֶף.","Родительский комитет собрал деньги.","Мамы в Израиле","s_502f448f83b6.mp3","Женский"
2376,"זֹאת תִּזְכּוֹרֶת לְכָל הַהוֹרִים.","Это напоминание всем родителям.","Мамы в Израиле","s_8c6b631aaa8d.mp3","Женский"
2377,"קָנִינוּ מַתָּנָה יָפָה לַצֶּוֶות.","Мы купили красивый подарок коллективу.","Мамы в Израиле","s_aefa6a571973.mp3","Женский"
2378,"מָחָר לוֹבְשִׁים חוּלְצָה לְבָנָה.","Завтра надеваем белую футболку.","Мамы в Израиле","s_c7a31b84a733.mp3","Женский"
2379,"הוֹלְכִים לְגִינַת שַׁעֲשׁוּעִים הַיּוֹם.","Идём на детскую площадку сегодня.","Мамы в Израиле","s_ee6ecbd7bcbc.mp3","Женский"
2380,"יֵשׁ לוֹ חוּג אַחֲרֵי הַצָּהֳרַיִם.","У него кружок во второй половине дня.","Мамы в Израиле","s_551b7f3ceab3.mp3","Женский"
2381,"הַיֶּלֶד רוֹכֵב עַל קוּרְקִינֶט.","Ребёнок едет на самокате.","Мамы в Израиле","s_8f382e7d6b60.mp3","Женский"
2382,"חַיָּיבִים לַחְבּוֹשׁ קַסְדָּה בַּנְּסִיעָה.","Обязательно надевать шлем при поездке.","Мамы в Израиле","s_7f71b41b8cde.mp3","Женский"
2383,"עַכְשָׁיו תּוֹרְךָ לַעֲלוֹת.","Сейчас твоя очередь подниматься.","Мамы в Израиле","s_761fcde099ed.mp3","Женский"
2384,"הִיא רוֹצָה לְהָנִיק עַכְשָׁיו.","Она хочет покормить грудью сейчас.","Мамы в Израиле","s_68b7fd412e98.mp3","Женский"
2385,"יֵשׁ לַתִּינוֹק גָּזִים בַּבֶּטֶן.","У малыша газики в животе.","Мамы в Израиле","s_5590eb07f3b1.mp3","Женский"
2386,"זֹאת פְּלִיטָה רְגִילָה לְגַמְרֵי.","Это совершенно обычное срыгивание.","Мамы в Израиле","s_35d5a6d3ebdd.mp3","Женский"
2387,"הַתִּינוֹק עָלוּל לִפְלוֹט חָלָב.","Малыш может срыгнуть молоко.","Мамы в Израиле","s_fef892741e56.mp3","Женский"
2388,"הִתְחִילָה בְּקִיעַת שִׁינַּיִים אֶצְלוֹ.","У него началось прорезывание зубов.","Мамы в Израиле","s_908bef7712ff.mp3","Женский"
2389,"אֵיפֹה מִטַּת הַתִּינוֹק שֶׁלָּכֶם?","Где ваша детская кроватка?","Мамы в Израиле","s_000d6b29826e.mp3","Женский"
2390,"לָמָּה הַתִּינוֹק מַתְחִיל לִבְכּוֹת?","Почему малыш начинает плакать?","Мамы в Израиле","s_1ee0a2585162.mp3","Женский"
2391,"צָרִיךְ לִשְׁקוֹל אֶת הַתִּינוֹק.","Нужно взвесить малыша.","Мамы в Израиле","s_2e9018e115f3.mp3","Женский"
2392,"הוּא בַּאֲחוּזוֹן חֲמִישִׁים מְצוּיָּן.","Он на отличном пятидесятом процентиле.","Мамы в Израиле","s_c54baac25928.mp3","Женский"
2393,"עָשִׂינוּ בְּדִיקַת הִתְפַּתְּחוּת מְצוּיֶּנֶת.","Мы прошли отличную проверку развития.","Мамы в Израиле","s_5e595daa913c.mp3","Женский"
2394,"הָיְתָה לוֹ הֲקָאָה בַּלַּיְלָה.","У него была рвота ночью.","Мамы в Израиле","s_4787ccaf8c74.mp3","Женский"
2395,"זֶה רַק וִירוּס בֶּטֶן פָּשׁוּט.","Это всего лишь простой кишечный вирус.","Мамы в Израиле","s_cf936877b858.mp3","Женский"
2396,"יֵשׁ לַיֶּלֶד כְּאֵב בֶּטֶן חָזָק.","У ребёнка сильная боль в животе.","Мамы в Израиле","s_1fcbc4103a52.mp3","Женский"
2397,"יֵשׁ לָהּ כְּאֵב רֹאשׁ מֵהַחוֹם.","У неё болит голова от жара.","Мамы в Израиле","s_368fd9910df2.mp3","Женский"
2398,"הָרוֹפֵא לָקַח מִשְׁטַח גָּרוֹן.","Врач взял мазок из горла.","Мамы в Израиле","s_5f53089f53ef.mp3","Женский"
2399,"נָסַעְנוּ לְמוֹקֵד לַיְלָה דָּחוּף.","Мы поехали в срочную ночную неотложку.","Мамы в Израиле","s_1647b880a309.mp3","Женский"
2400,"הַיֶּלֶד אַפָּתִי וְלֹא שׁוֹתֶה.","Ребёнок апатичный и не пьёт.","Мамы в Израиле","s_365710b030dd.mp3","Женский"
2401,"קָנִיתִי נֵרוֹת לְהוֹרָדַת חוֹם.","Я купила жаропонижающие свечи.","Мамы в Израиле","s_dc9a751c95be.mp3","Женский"
2402,"נָתַתִּי לוֹ אֲקָמוֹלִי עַכְשָׁיו.","Я дала ему Акамоли сейчас.","Мамы в Израиле","s_c1bae8c6807d.mp3","Женский"
2403,"יֵשׁ בַּבַּיִת נוּרוֹפֶן לִילָדִים?","Есть дома детский Нурофен?","Мамы в Израиле","s_e40f0dfd46a7.mp3","Женский"
2404,"שְׁטוֹף אֶת מַזְרֵק הַמִּינּוּן.","Промой шприц-дозатор.","Мамы в Израиле","s_74b9849aebad.mp3","Женский"
2405,"הַמִּינּוּן הוּא לְפִי מִשְׁקָל.","Дозировка идёт по весу.","Мамы в Израиле","s_f503cb575a6f.mp3","Женский"
